"Year","Tournament","Winner","Runnerup","Score","gender"
2021,"Australian Open","Novak Djokovic","Daniil Medvedev","7–5, 6–2, 6–2","M"
2020,"French Open","Rafael Nadal","Novak Djokovic","6–0, 6–2, 7–5","M"
2020,"US Open","Dominic Thiem","Alexander Zverev","2–6, 4–6, 6–4, 6–3, 7–6(8–6)","M"
2020,"Australian Open","Novak Djokovic","Dominic Thiem","6–4, 4–6, 2–6, 6–3, 6–4","M"
2019,"US Open","Rafael Nadal","Daniil Medvedev","7–5, 6–3, 5–7, 4–6, 6–4","M"
2019,"Wimbledon","Novak Djokovic","Roger Federer","7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)","M"
2019,"French Open","Rafael Nadal","Dominic Thiem","6–3, 5–7, 6–1, 6–1","M"
2019,"Australian Open","Novak Djokovic","Rafael Nadal","6–3, 6–2, 6–3","M"
2018,"US Open","Novak Djokovic","Juan Martín del Potro","6–3, 7–6(7–5), 6–4","M"
2018,"Wimbledon","Novak Djokovic","Kevin Anderson","6–2, 6–2, 7–6(7–3)","M"
2018,"French Open","Rafael Nadal","Dominic Thiem","6–4, 6–3, 6–2","M"
2018,"Australian Open","Roger Federer","Marin Čilić","6–2, 6–7(4–7), 6–3, 3–6, 6–1","M"
2017,"US Open","Rafael Nadal","Kevin Anderson","6–3, 6–3, 6–4","M"
2017,"Wimbledon","Roger Federer","Marin Čilić","6–3, 6–1, 6–4","M"
2017,"French Open","Rafael Nadal","Stan Wawrinka","6–2, 6–3, 6–1","M"
2017,"Australian Open","Roger Federer","Rafael Nadal","6–4, 3–6, 6–1, 3–6, 6–3","M"
2016,"US Open","Stan Wawrinka","Novak Djokovic","6–7(1–7), 6–4, 7–5, 6–3","M"
2016,"Wimbledon","Andy Murray","Milos Raonic","6–4, 7–6 (3), 7–6 (2)","M"
2016,"French Open","Novak Djokovic","Andy Murray","3–6, 6–1, 6–2, 6–4","M"
2016,"Australian Open","Novak Djokovic","Andy Murray","6–1, 7–5, 7–6 (3)","M"
2015,"US Open","Novak Djokovic","Roger Federer","6–4, 5–7, 6–4, 6–4","M"
2015,"Wimbledon","Novak Djokovic","Roger Federer","7–6 (1), 6–7 (10), 6–4, 6–3","M"
2015,"French Open","Stan Wawrinka","Novak Djokovic","4–6, 6–4, 6–3, 6–4","M"
2015,"Australian Open","Novak Djokovic","Andy Murray","7–6 (5), 6–7 (4), 6–3, 6–0","M"
2014,"US Open","Marin Čilić","Kei Nishikori","6–3, 6–3, 6–3","M"
2014,"Wimbledon","Novak Djokovic","Roger Federer","6–7 (7), 6–4, 7–6 (4), 5–7, 6–4","M"
2014,"French Open","Rafael Nadal","Novak Djokovic","3–6, 7–5, 6–2, 6–4","M"
2014,"Australian Open","Stan Wawrinka","Rafael Nadal","6–3, 6–2, 3–6, 6–3","M"
2013,"US Open","Rafael Nadal","Novak Djokovic","6–2, 3–6, 6–4, 6–1","M"
2013,"Wimbledon","Andy Murray","Novak Djokovic","6–4, 7–5, 6–4","M"
2013,"French Open","Rafael Nadal","David Ferrer","6–3, 6–2, 6–3","M"
2013,"Australian Open","Novak Djokovic","Andy Murray","6–7 (2), 7–6 (3), 6–3, 6–2","M"
2012,"US Open","Andy Murray","Novak Djokovic","7–6 (10), 7–5, 2–6, 3–6, 6–2","M"
2012,"Wimbledon","Roger Federer","Andy Murray","4–6, 7–5, 6–3, 6–4","M"
2012,"French Open","Rafael Nadal","Novak Djokovic","6–4, 6–3, 2–6, 7–5","M"
2012,"Australian Open","Novak Djokovic","Rafael Nadal","5–7, 6–4, 6–2, 6–7 (5), 7–5","M"
2011,"US Open","Novak Djokovic","Rafael Nadal","6–2, 6–4, 6–7(3–7), 6–1","M"
2011,"Wimbledon","Novak Djokovic","Rafael Nadal","6–4, 6–1, 1–6, 6–3","M"
2011,"French Open","Rafael Nadal","Roger Federer","7–5, 7–6 (3), 5–7, 6–1","M"
2011,"Australian Open","Novak Djokovic","Andy Murray","6–4, 6–2, 6–3","M"
2010,"US Open","Rafael Nadal","Novak Djokovic","6–4, 5–7, 6–4, 6–2","M"
2010,"Wimbledon","Rafael Nadal","Tomáš Berdych","6–3, 7–5, 6–4","M"
2010,"French Open","Rafael Nadal","Robin Söderling","6–4, 6–2, 6–4","M"
2010,"Australian Open","Roger Federer","Andy Murray","6–3, 6–4, 7–6 (11)","M"
2009,"US Open","Juan Martín del Potro","Roger Federer","3–6, 7–6 (5), 4–6, 7–6 (4), 6–2","M"
2009,"Wimbledon","Roger Federer","Andy Roddick","5–7, 7–6 (6), 7–6 (5), 3–6, 16–14","M"
2009,"French Open","Roger Federer","Robin Söderling","6–1, 7–6 (1), 6–4","M"
2009,"Australian Open","Rafael Nadal","Roger Federer","7–5, 3–6, 7–6 (3), 3–6, 6–2","M"
2008,"US Open","Roger Federer","Andy Murray","6–2, 7–5, 6–2","M"
2008,"Wimbledon","Rafael Nadal","Roger Federer","6–4, 6–4, 6–7 (5), 6–7 (8), 9–7","M"
2008,"French Open","Rafael Nadal","Roger Federer","6–1, 6–3, 6–0","M"
2008,"Australian Open","Novak Djokovic","Jo-Wilfried Tsonga","4–6, 6–4, 6–3, 7–6 (2)","M"
2007,"US Open","Roger Federer","Novak Djokovic","7–6(4), 7–6(2), 6–4","M"
2007,"Wimbledon","Roger Federer","Rafael Nadal","7–6 (7), 4–6, 7–6 (3), 2–6, 6–2","M"
2007,"French Open","Rafael Nadal","Roger Federer","6–3, 4–6, 6–3, 6–4","M"
2007,"Australian Open","Roger Federer","Fernando González","7–6 (2), 6–4, 6–4","M"
2006,"US Open","Roger Federer","Andy Roddick","6–2, 4–6, 7–5, 6–1","M"
2006,"Wimbledon","Roger Federer","Rafael Nadal","6–0, 7–6 (5), 6–7 (2), 6–3","M"
2006,"French Open","Rafael Nadal","Roger Federer","1–6, 6–1, 6–4, 7–6 (4)","M"
2006,"Australian Open","Roger Federer","Marcos Baghdatis","5–7, 7–5, 6–0, 6–2","M"
2005,"US Open","Roger Federer","Andre Agassi","6–3, 2–6, 7–6(1), 6–1","M"
2005,"Wimbledon","Roger Federer","Andy Roddick","6–2, 7–6 (2), 6–4","M"
2005,"French Open","Rafael Nadal","Mariano Puerta","6–7 (6), 6–3, 6–1, 7–5","M"
2005,"Australian Open","Marat Safin","Lleyton Hewitt","1–6, 6–3, 6–4, 6–4","M"
2004,"US Open","Roger Federer","Lleyton Hewitt","6–0, 7–6(7–3), 6–0","M"
2004,"Wimbledon","Roger Federer","Andy Roddick","4–6, 7–5, 7–6 (3), 6–4","M"
2004,"French Open","Gastón Gaudio","Guillermo Coria","0–6, 3–6, 6–4, 6–1, 8–6","M"
2004,"Australian Open","Roger Federer","Marat Safin","7–6 (3), 6–4, 6–2","M"
2003,"US Open","Andy Roddick","Juan Carlos Ferrero","6–3, 7–6(7–2), 6–3","M"
2003,"Wimbledon","Roger Federer","Mark Philippoussis","7–6 (5), 6–2, 7–6 (3)","M"
2003,"French Open","Juan Carlos Ferrero","Martin Verkerk","6–1, 6–3, 6–2","M"
2003,"Australian Open","Andre Agassi","Rainer Schüttler","6–2, 6–2, 6–1","M"
2002,"US Open","Pete Sampras","Andre Agassi","6–3, 6–4, 5–7, 6–4","M"
2002,"Wimbledon","Lleyton Hewitt","David Nalbandian","6–1, 6–3, 6–2","M"
2002,"French Open","Albert Costa","Juan Carlos Ferrero","6–1, 6–0, 4–6, 6–3","M"
2002,"Australian Open","Thomas Johansson","Marat Safin","3–6, 6–4, 6–4, 7–6 (4)","M"
2001,"US Open","Lleyton Hewitt","Pete Sampras","7–6(7–4), 6–1, 6–1","M"
2001,"Wimbledon","Goran Ivanišević","Patrick Rafter","6–3, 3–6, 6–3, 2–6, 9–7","M"
2001,"French Open","Gustavo Kuerten","Àlex Corretja","6–7 (3), 7–5, 6–2, 6–0","M"
2001,"Australian Open","Andre Agassi","Arnaud Clément","6–4, 6–2, 6–2","M"
